clayflat, clayflat, 197, 41, 1380, 76, 316
clayflat, clayflat, 453, 31, 1315, 38, 173
clayflat, clayflat, 194, 20, 1599, 39, 158
clayflat, clayflat, 256, 37, 1479, 43, 195
clayflat, clayflat, 246, 33, 1491, 41, 199
clayflat, clayflat, 273, 40, 1471, 43, 183
clayflat, clayflat, 393, 39, 1365, 39, 174
clayflat, clayflat, 414, 72, 1149, 107, 268
clayflat, clayflat, 575, 60, 1033, 79, 263
clayflat, clayflat, 549, 63, 1043, 83, 272
clayflat, clayflat, 381, 57, 1233, 84, 255
clayflat, clayflat, 545, 59, 1045, 93, 268
clayflat, clayflat, 628, 109, 822, 174, 277
clayflat, clayflat, 545, 68, 1060, 131, 206
clayflat, clayflat, 565, 65, 1022, 164, 194
clayflat, clayflat, 735, 81, 879, 130, 185
clayflat, clayflat, 728, 68, 840, 157, 217
clayflat, clayflat, 588, 60, 1022, 151, 189
clayflat, clayflat, 610, 78, 985, 137, 200
clayflat, clayflat, 797, 77, 809, 139, 188
