opentop, opentop, 271, 95, 306, 80, 1258
opentop, opentop, 251, 74, 253, 60, 1372
opentop, opentop, 161, 49, 196, 33, 1571
opentop, opentop, 161, 51, 248, 43, 1507
opentop, opentop, 164, 50, 285, 32, 1479
opentop, opentop, 161, 64, 131, 48, 1606
opentop, opentop, 148, 52, 152, 48, 1610
opentop, opentop, 166, 39, 160, 39, 1606
opentop, opentop, 143, 44, 183, 42, 1598
opentop, opentop, 161, 52, 301, 33, 1463
opentop, opentop, 129, 41, 248, 36, 1556
opentop, opentop, 219, 108, 224, 92, 1367
opentop, opentop, 172, 53, 259, 32, 1494
opentop, opentop, 191, 47, 347, 42, 1383
opentop, opentop, 221, 81, 213, 70, 1425
opentop, opentop, 200, 68, 195, 60, 1487
opentop, opentop, 183, 63, 255, 47, 1462
opentop, opentop, 169, 57, 369, 44, 1371
opentop, opentop, 177, 65, 169, 45, 1554
opentop, opentop, 175, 73, 133, 59, 1570
